method,feature_set,k,n_samples,n_features,inertia,silhouette,davies_bouldin,calinski_harabasz
KMeans,geometry_only,3,10153,21,139794.52353629394,0.24301201309425816,1.6064066617246457,2665.3316498236436
KMeans,geometry_energy,3,10153,22,147590.0513635858,0.23874975727025116,1.6096638311606875,2605.615593848064
KMeans,geometry_only,4,10153,21,128443.8013908146,0.2044059667667224,1.794289731922104,2232.6862130999452
KMeans,geometry_only,5,10153,21,120784.15266967413,0.1950168001096607,1.8285362121886917,1941.4146850913073
KMeans,geometry_energy,4,10153,22,136193.63266907737,0.1945589427524023,1.822629119407721,2165.330336924031
KMeans,geometry_energy,5,10153,22,126627.37685004095,0.19423962963008348,1.7825505598969662,1938.1744111173925
KMeans,geometry_only,6,10153,21,114829.6938403238,0.19162073837858373,1.7227724005540812,1738.742146273154
KMeans,geometry_energy,6,10153,22,120114.22346091592,0.18343954998064876,1.8885764548785717,1744.5095104861196
KMeans,geometry_energy,7,10153,22,114186.44852159955,0.18334427671937478,1.7876025988512316,1616.8522967508843
KMeans,geometry_only,2,10153,21,174988.91693318431,0.18283135795918384,1.9097645173944842,2217.3556703559043
